,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
319,319,florida,0.42,0.48,0.09,423,29,814
320,320,florida,0.41,0.43,0.13,453,29,1093
321,321,georgia,0.45,0.45,0.03,4,16,2419
322,322,georgia,0.46,0.49,0.02,2,16,1200
323,323,georgia,0.44,0.5,NA,5,16,366
324,324,georgia,0.42,0.48,0.1,12,16,691
325,325,georgia,0.43,0.49,0.03,4,16,995
326,326,georgia,0.46,0.48,0.02,6,16,1000
327,327,georgia,0.45,0.49,0.01,6,16,538
328,328,georgia,0.46,0.47,0.01,8,16,707
329,329,georgia,0.44,0.46,0.03,11,16,2665
330,330,georgia,0.45,0.5,NA,13,16,365
331,331,georgia,0.42,0.49,0.06,13,16,594
332,332,georgia,0.43,0.44,0.05,16,16,707
333,333,georgia,0.44,0.47,0.02,18,16,2235
334,334,georgia,0.46,0.5,0.01,19,16,570
335,335,georgia,0.43,0.47,0.05,19,16,600
336,336,georgia,0.42,0.44,0.04,20,16,839
337,337,georgia,0.44,0.4,0.08,22,16,807
338,338,georgia,0.48,0.45,0.07,27,16,886
339,339,georgia,0.42,0.5,0.08,36,16,1020
340,340,georgia,0.42,0.48,0.06,28,16,1400
341,341,georgia,0.43,0.48,0.09,43,16,583
342,342,georgia,0.43,0.47,0.05,48,16,600
343,343,georgia,0.4,0.47,0.04,52,16,638
344,344,georgia,0.42,0.45,0.05,52,16,401
345,345,georgia,0.4,0.48,0.12,64,16,890
346,346,georgia,0.42,0.46,0.02,55,16,568
347,347,georgia,0.43,0.46,0.02,62,16,625
348,348,georgia,0.46,0.46,0.08,79,16,2034
349,349,georgia,0.43,0.43,0.03,83,16,730
350,350,georgia,0.41,0.45,0.05,89,16,988
351,351,georgia,0.44,0.45,NA,94,16,1604
352,352,georgia,0.44,0.4,0.05,97,16,847
353,353,georgia,0.46,0.46,0.03,99,16,787
354,354,georgia,0.42,0.46,0.05,101,16,628
355,355,georgia,0.44,0.45,0.02,107,16,500
356,356,georgia,0.38,0.45,0.09,163,16,724
357,357,georgia,0.41,0.44,0.05,177,16,587
358,358,georgia,0.41,0.45,0.06,181,16,822
359,359,georgia,0.41,0.42,0.16,187,16,570
360,360,georgia,0.5,0.37,0.1,220,16,400
361,361,georgia,0.41,0.5,0.09,260,16,1261
362,362,georgia,0.37,0.46,0.05,384,16,1554
363,363,hawaii,0.52,0.28,0.04,4,4,426
364,364,hawaii,0.65,0.31,0.04,5,4,308
365,365,hawaii,0.51,0.32,0.03,11,4,467
366,366,hawaii,0.64,0.33,NA,13,4,310
367,367,hawaii,0.49,0.34,0.03,18,4,459
368,368,hawaii,0.58,0.28,0.14,79,4,546
369,369,idaho,0.29,0.47,0.02,4,4,612
370,370,idaho,0.33,0.6,0.07,5,4,322
371,371,idaho,0.3,0.53,0.17,12,4,325
372,372,idaho,0.31,0.49,0.01,11,4,447
373,373,idaho,0.34,0.61,0.06,13,4,318
374,374,idaho,0.29,0.48,0.08,16,4,750
375,375,idaho,0.29,0.5,0.04,18,4,438
376,376,idaho,0.31,0.54,0.15,36,4,323
377,377,idaho,0.31,0.55,0.14,43,4,320
378,378,idaho,0.32,0.56,0.12,64,4,261
379,379,idaho,0.34,0.53,0.13,79,4,716
380,380,idaho,0.23,0.44,0.07,120,4,601
381,381,illinois,0.52,0.35,0.13,4,20,1823
382,382,illinois,0.54,0.4,0.06,5,20,403
383,383,illinois,0.51,0.39,0.1,12,20,781
384,384,illinois,0.52,0.35,0.01,11,20,1003
385,385,illinois,0.56,0.41,NA,13,20,387
386,386,illinois,0.48,0.37,0.1,13,20,600
387,387,illinois,0.52,0.34,0.03,18,20,1091
388,388,illinois,0.51,0.36,0.05,22,20,1200
389,389,illinois,0.6,0.27,0.13,36,20,612
390,390,illinois,0.57,0.31,0.12,43,20,873
391,391,illinois,0.53,0.28,0.1,40,20,865
392,392,illinois,0.49,0.35,0.11,46,20,1200
393,393,illinois,0.47,0.33,0.11,54,20,600
394,394,illinois,0.51,0.36,0.13,64,20,615
395,395,illinois,0.53,0.38,0.09,79,20,2599
396,396,illinois,0.51,0.32,0.17,97,20,800
397,397,illinois,0.51,0.34,0.04,116,20,1200
398,398,illinois,0.57,0.32,0.11,246,20,1968
399,399,illinois,0.51,0.33,0.16,477,20,931
400,400,indiana,0.35,0.52,0.03,4,11,1700
401,401,indiana,0.43,0.51,NA,5,11,338
402,402,indiana,0.38,0.54,0.08,12,11,541
403,403,indiana,0.39,0.49,0.09,8,11,399
404,404,indiana,0.37,0.51,0.02,11,11,674
405,405,indiana,0.39,0.5,0.05,10,11,402
406,406,indiana,0.42,0.54,NA,13,11,332
407,407,indiana,0.38,0.49,0.08,16,11,596
408,408,indiana,0.35,0.48,0.03,18,11,688
409,409,indiana,0.37,0.43,0.11,26,11,544
410,410,indiana,0.41,0.45,0.05,27,11,402
411,411,indiana,0.38,0.47,0.15,36,11,822
412,412,indiana,0.37,0.43,0.07,30,11,1123
413,413,indiana,0.37,0.5,0.13,43,11,844
414,414,indiana,0.33,0.53,0.14,64,11,709
415,415,indiana,0.37,0.52,0.11,79,11,2294
416,416,indiana,0.36,0.47,0.05,85,11,403
417,417,indiana,0.41,0.48,0.11,195,11,2149
418,418,indiana,0.39,0.47,0.14,202,11,500
419,419,iowa,0.38,0.47,0.07,4,6,1781
420,420,iowa,0.47,0.48,0.06,5,6,342
421,421,iowa,0.44,0.44,0.12,12,6,595
422,422,iowa,0.39,0.46,0.06,5,6,800
423,423,iowa,0.44,0.43,0.07,6,6,500
424,424,iowa,0.41,0.44,0.06,7,6,1076
425,425,iowa,0.4,0.45,NA,11,6,984
426,426,iowa,0.48,0.48,NA,13,6,329
427,427,iowa,0.44,0.44,0.06,16,6,791
428,428,iowa,0.4,0.44,NA,18,6,1229
429,429,iowa,0.44,0.49,0.07,27,6,1135
430,430,iowa,0.45,0.44,0.11,36,6,549
431,431,iowa,0.41,0.37,0.09,30,6,917
432,432,iowa,0.39,0.43,0.07,34,6,642
433,433,iowa,0.44,0.46,0.1,43,6,528
434,434,iowa,0.42,0.42,0.1,48,6,491
435,435,iowa,0.37,0.44,0.05,52,6,612
436,436,iowa,0.41,0.49,0.1,64,6,510
437,437,iowa,0.37,0.45,0.06,56,6,404
438,438,iowa,0.39,0.4,0.08,62,6,1054
439,439,iowa,0.42,0.46,0.12,79,6,1875
440,440,iowa,0.45,0.43,0.12,70,6,827
441,441,iowa,0.4,0.4,0.07,82,6,987
442,442,iowa,0.47,0.44,0.06,87,6,846
443,443,iowa,0.4,0.41,0.19,91,6,500
444,444,iowa,0.41,0.37,0.09,95,6,899
445,445,iowa,0.39,0.4,0.08,117,6,998
446,446,iowa,0.42,0.44,0.06,121,6,401
447,447,iowa,0.42,0.39,0.08,124,6,822
448,448,iowa,0.42,0.4,NA,124,6,1318
449,449,iowa,0.48,0.34,0.14,135,6,600
450,450,iowa,0.41,0.39,0.2,139,6,897
451,451,iowa,0.44,0.41,0.15,150,6,630
452,452,iowa,0.48,0.4,0.12,309,6,1470
453,453,iowa,0.45,0.43,0.13,332,6,1426
454,454,iowa,0.41,0.4,0.19,361,6,641
455,455,iowa,0.44,0.44,0.12,374,6,1668
456,456,iowa,0.41,0.48,0.11,408,6,1061
457,457,iowa,0.43,0.48,0.09,436,6,998
458,458,iowa,0.43,0.4,0.17,458,6,1500
459,459,kansas,0.36,0.49,0.02,4,6,1311
460,460,kansas,0.39,0.54,0.08,5,6,328
461,461,kansas,0.38,0.54,0.08,12,6,519
462,462,kansas,0.34,0.58,NA,6,6,313
463,463,kansas,0.36,0.47,0.02,11,6,1273
464,464,kansas,0.38,0.49,0.06,11,6,624
465,465,kansas,0.39,0.56,NA,13,6,328
466,466,kansas,0.36,0.48,0.03,18,6,1688
467,467,kansas,0.36,0.47,0.07,26,6,581
468,468,kansas,0.38,0.5,0.12,36,6,565
469,469,kansas,0.39,0.47,NA,47,6,892
470,470,kansas,0.35,0.55,0.1,43,6,556
471,471,kansas,0.39,0.49,0.12,64,6,459
472,472,kansas,0.36,0.48,0.07,61,6,595
473,473,kansas,0.37,0.49,0.14,79,6,741
474,474,kansas,0.39,0.44,0.09,95,6,566
475,475,kansas,0.27,0.44,0.16,115,6,542
476,476,kansas,0.36,0.47,0.09,121,6,559
477,477,kansas,0.43,0.36,0.21,156,6,433
478,478,kansas,0.36,0.46,0.18,259,6,440
479,479,kentucky,0.35,0.54,0.02,4,8,1315
480,480,kentucky,0.36,0.6,0.04,5,8,328
481,481,kentucky,0.38,0.58,0.04,12,8,651
482,482,kentucky,0.31,0.58,0.01,11,8,424
483,483,kentucky,0.37,0.59,NA,13,8,324
484,484,kentucky,0.32,0.56,0.05,12,8,811
485,485,kentucky,0.29,0.6,0.01,18,8,366
486,486,kentucky,0.39,0.53,0.08,36,8,576
487,487,kentucky,0.37,0.57,0.06,43,8,627
488,488,kentucky,0.35,0.54,0.11,64,8,716
489,489,kentucky,0.34,0.57,0.09,79,8,732
490,490,kentucky,0.45,0.42,0.13,507,8,1108
491,491,louisiana,0.38,0.52,0.04,4,8,982
492,492,louisiana,0.4,0.55,0.05,5,8,329
493,493,louisiana,0.36,0.52,0.12,12,8,633
494,494,louisiana,0.38,0.51,0.04,11,8,423
495,495,louisiana,0.4,0.56,NA,13,8,316
496,496,louisiana,0.38,0.53,0.01,18,8,388
497,497,louisiana,0.35,0.5,0.08,19,8,500
498,498,louisiana,0.4,0.43,0.07,21,8,614
499,499,louisiana,0.35,0.49,0.06,21,8,603
500,500,louisiana,0.34,0.54,0.09,21,8,625
501,501,louisiana,0.38,0.45,0.12,26,8,800
502,502,louisiana,0.36,0.49,0.15,36,8,644
503,503,louisiana,0.36,0.51,0.13,43,8,631
504,504,louisiana,0.35,0.45,0.13,46,8,905
505,505,louisiana,0.33,0.49,0.11,53,8,500
506,506,louisiana,0.34,0.54,0.12,64,8,511
507,507,louisiana,0.4,0.46,0.06,69,8,605
508,508,louisiana,0.38,0.53,0.08,79,8,871
509,509,louisiana,0.36,0.52,0.08,187,8,624
510,510,louisiana,0.39,0.47,NA,413,8,800
511,511,maine,0.46,0.38,0.02,4,4,779
512,512,maine,0.54,0.41,0.05,5,4,308
513,513,maine,0.42,0.35,0.23,12,4,304
514,514,maine,0.49,0.37,0.04,11,4,432
515,515,maine,0.54,0.43,NA,13,4,312
516,516,maine,0.47,0.4,0.13,14,4,812
517,517,maine,0.48,0.37,0.03,17,4,646
518,518,maine,0.51,0.35,0.03,18,4,370
519,519,maine,0.49,0.39,0.12,25,4,890
520,520,maine,0.48,0.35,0.17,36,4,281
521,521,maine,0.49,0.4,0.11,31,4,892
522,522,maine,0.46,0.33,0.21,43,4,303
523,523,maine,0.42,0.37,0.05,51,4,513
524,524,maine,0.45,0.4,0.15,53,4,835
525,525,maine,0.41,0.4,0.19,64,4,275
526,526,maine,0.42,0.39,0.05,62,4,779
527,527,maine,0.47,0.39,0.14,79,4,715
528,528,maine,0.42,0.32,0.13,81,4,841
529,529,maine,0.46,0.36,NA,94,4,2046
530,530,maine,0.42,0.35,0.04,143,4,469
531,531,maryland,0.59,0.28,0.02,4,10,1216
532,532,maryland,0.56,0.38,0.06,5,10,329
533,533,maryland,0.56,0.34,0.1,12,10,720
534,534,maryland,0.63,0.27,0.02,11,10,740
535,535,maryland,0.58,0.38,NA,13,10,330
536,536,maryland,0.61,0.27,0.02,18,10,915
